병원명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,데이터기준일자
프라임성형외과의원,의원,031-439-7100,"경기도 안산시 단원구 고잔1길 16, 301-1호 (고잔동, 중앙마케이트)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~16:00,,,2022-06-01
프로포즈성형외과의원,의원,031-485-8275,"경기도 안산시 단원구 고잔1길 17, 402,403,501호 (고잔동, 대유빌딩)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~16:00,,,2022-06-01
피엘미즈산부인과,의원,031-486-0151,경기도 안산시 단원구 선부광장1로 56 (선부동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~14:00,,,2022-06-01
필미즈의원,의원,031-484-7447,"경기도 안산시 단원구 선부광장1로 56, 303호 (선부동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,,,2022-06-01
필의원,의원,031-411-7575,경기도 안산시 단원구 고잔1길 37 (고잔동),10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~16:00,,,2022-06-01
하이맨비뇨기과의원,의원,031-410-7540,경기도 안산시 단원구 예술대학로 17  (고잔동),10:00~19:00,10:00~19:00,11:00~21:00,10:00~19:00,10:00~19:00,10:00~16:00,,,2022-06-01
하이안의원,의원,031-410-3330,경기도 안산시 단원구 원초로 30  (원곡동),09:30~18:30,09:30~18:30,09:30~18:30,14:00~19:30,09:30~18:30,09:30~13:30,,,2022-06-01
하트봄내과의원,의원,031-482-5656,"경기도 안산시 단원구 광덕3로 167, 신영프라자 204,205호 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
한길외과의원,의원,031-486-8660,"경기도 안산시 단원구 황금1길 31 (와동,1~3층)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
한마음소아청소년과의원,의원,031-482-9119,"경기도 안산시 단원구 광덕동로 75, 사또타워 105호 (고잔동)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,09:00~15:30,09:00~13:00,09:00~13:00,2022-06-01
한마음의원,의원,031-405-7583,"경기도 안산시 단원구 석수로5길 8, 2층 (선부동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
한빛안과의원,의원,031-414-0204,경기도 안산시 단원구 예술대학로 9 (고잔동),09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~15:00,,,2022-06-01
한사랑내과의원,의원,031-411-1475,경기도 안산시 단원구 선부로 223 (와동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,2022-06-01
한사랑외과의원,의원,031-475-1075,"경기도 안산시 단원구 선부광장1로 22, 201~204호 (선부동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,08:00~13:00,,,2022-06-01
한양의원,의원,031-401-1441,경기도 안산시 단원구 와동로7길 2 (와동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,,2022-06-01
한우리의원,의원,031-484-9100,"경기도 안산시 단원구 선부광장1로 22 (선부동,2층 203호 일부)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
한중메디컬의원,의원,031-495-8877,"경기도 안산시 단원구 신길로 8, 4층 (신길동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:00~13:00,,,2022-06-01
한해성비뇨의학과의원,의원,031-506-2759,"경기도 안산시 단원구 선부광장로 23, 안산세이브시티 3층 301호 일부호 (선부동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
항사랑외과의원,의원,031-486-9975,"경기도 안산시 단원구 광덕대로 174, 304,305호 (고잔동, 월드타운)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,,,2022-06-01
해맑은소아청소년과의원,의원,031-410-1289,"경기도 안산시 단원구 선부로 187, 유송프라자 4층 401호 (선부동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,10:00~14:00,,2022-06-01
햇살가득의원,의원,031-492-7515,"경기도 안산시 단원구 새뿔길 47, 2층 (신길동, 새뿔길 45, 지하)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,,09:00~12:00,2022-06-01
행복한비뇨의학과의원,의원,031-8040-5851,"경기도 안산시 단원구 원포공원1로 20, 단원병원별관 3층 302호호 (초지동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
형제정형외과신경외과의원,의원,031-439-7575,"경기도 안산시 단원구 초지로 90, 태영프라자 303,311-313호 (초지동)",,,,,,,,,2022-06-01
홍제의원,의원,031-486-1662,"경기도 안산시 단원구 예술대학로 89, 201,202,219호 (고잔동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,2022-06-01
휴플러스의원,의원,031-475-4117,"경기도 안산시 단원구 고잔2길 9, 401~403호,405호 (고잔동, 하이베라스빌딩)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~15:00,,,2022-06-01
궁치과병원,치과병원,031-504-2875,"경기도 안산시 단원구 고잔2길 45, 501호 (고잔동, 코스모프라자)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~19:00,09:00~14:00,,09:00~14:00,2022-06-01
안산예치과병원,치과병원,031-480-2833,"경기도 안산시 단원구 고잔2길 59, 2층 (고잔동, 신세기빌딩)",09:30~18:30,09:30~20:30,09:30~20:30,09:30~18:30,09:30~18:30,10:00~14:00,,,2022-06-01
탑치과병원,치과병원,031-491-5858,"경기도 안산시 단원구 동산로 63, 303~304호 (원시동, 이마트)",10:00~18:00,10:00~20:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,,,2022-06-01
한국치과병원,치과병원,031-506-3651,"경기도 안산시 단원구 광덕서로 86, 4층 (고잔동, 안산법조타운)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~15:00,,,2022-06-01
E-믿음치과의원,치과의원,031-480-2804,"경기도 안산시 단원구 광덕2로 164, 5층 (고잔동, 메디피아빌딩)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,,,2022-06-01
M치과의원,치과의원,031-493-2895,"경기도 안산시 단원구 다문화길 18, 3층 (원곡동)",09:30~18:30,09:30~18:30,09:30~18:30,,09:30~18:30,09:30~18:00,09:30~18:00,09:30~18:00,2022-06-01
e-아름다운치과의원,치과의원,031-411-2876,"경기도 안산시 단원구 라성안길 17, 303-1호 (원곡동, 베스트프라자)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~14:00,,,2022-06-01
e-좋은치과의원,치과의원,031-475-2875,경기도 안산시 단원구 초지1로 76 (초지동),10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,,,2022-06-01
e-편한치과의원,치과의원,031-401-2772,"경기도 안산시 단원구 고잔로 54, 409-411호 (고잔동, 에이스타워)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~20:30,09:30~18:00,09:30~13:30,,,2022-06-01
강남치과의원,치과의원,031-493-2875,"경기도 안산시 단원구 화랑로 122, e편한세상 초지역센트럴포레아파트 상가2동 202~204호 (원곡동)",09:30~20:00,10:00~18:30,09:30~20:00,10:00~18:30,09:30~20:00,09:30~13:00,,,2022-06-01
건강한치과의원,치과의원,031-402-9926,"경기도 안산시 단원구 인현중앙길 16, 대동상가201호 (고잔동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,,,2022-06-01
공단서울치과의원,치과의원,031-433-2807,"경기도 안산시 단원구 번영1로 65, 201,202,203호 (성곡동)",09:30~18:30,09:30~21:00,09:30~18:30,12:00~17:30,09:30~18:30,09:30~13:30,,,2022-06-01
공단치과의원,치과의원,031-431-4001,경기도 안산시 단원구 지원로 107  (성곡동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,09:00~13:00,,2022-06-01
굿모닝치과의원,치과의원,031-410-2870,"경기도 안산시 단원구 선부로 183, 3층 302호 (선부동, 화성프라자)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,,,2022-06-01
기치과의원,치과의원,031-410-2388,"경기도 안산시 단원구 화정로 6, 204호 (선부동, 삼희프라자)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~14:00,,,2022-06-01
나래치과의원,치과의원,031-411-4331,"경기도 안산시 단원구 선부광장1로 56, 302호 (선부동, 일성이즈마트)",10:00~19:00,10:00~19:00,14:00~21:00,10:00~19:00,10:00~19:00,10:00~14:00,,,2022-06-01
뉴욕정치과의원,치과의원,031-403-6777,"경기도 안산시 단원구 선부광장1로 70, 205호 (선부동, 군자빌딩)",10:00~18:30,10:00~21:00,10:00~18:30,10:00~18:30,10:00~18:30,10:00~15:00,,,2022-06-01
담덕치과의원,치과의원,031-410-2879,"경기도 안산시 단원구 예술대학로 11, 5층 (고잔동, 해남빌딩)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
대부센타치과의원,치과의원,032-884-2875,"경기도 안산시 단원구 대부중앙로 110, 2층 일부 (대부북동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
대부이조은치과의원,치과의원,032-886-9536,"경기도 안산시 단원구 대부중앙로 105, 2층 (대부북동)",09:30~17:30,09:30~17:30,09:30~17:30,09:30~17:30,09:30~17:30,09:30~12:00,,,2022-06-01
대웅치과의원,치과의원,031-405-0802,"경기도 안산시 단원구 선이로 14, 3028호 (선부동, 선부제일종합시장)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,,,2022-06-01
더플러스치과의원,치과의원,031-403-2877,"경기도 안산시 단원구 광덕3로 178, 화승타운 209호 (고잔동)",10:00~19:00,10:00~20:00,10:00~19:00,10:00~20:00,10:00~19:00,10:00~14:00,,,2022-06-01
독일치과의원,치과의원,031-493-0607,"경기도 안산시 단원구 화랑로 102, e편한세상센트럴포레아파트 상가101동 314~319호 (원곡동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
동서치과의원,치과의원,031-405-2875,"경기도 안산시 단원구 중앙대로 921, 432호 (고잔동, 동서코아)",09:30~19:00,09:30~19:00,09:30~19:00,,09:30~19:00,09:30~14:00,,,2022-06-01
듀오치과의원,치과의원,031-484-2828,"경기도 안산시 단원구 고잔1길 16, 301~302호 (고잔동, 중앙마케이트빌딩)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,,,2022-06-01
라임프로치과의원,치과의원,031-8042-7701,"경기도 안산시 단원구 광덕대로 168, 신화타운 3층 301호 (고잔동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,,,,2022-06-01
류창석치과의원,치과의원,031-414-2828,"경기도 안산시 단원구 선부광장1로 62, 306호 (선부동, 동원프라자)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~15:00,,,2022-06-01
리앤키즈치과의원,치과의원,031-401-2879,"경기도 안산시 단원구 고잔1길 17, 대유빌딩 404, 405호 (고잔동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,,,2022-06-01
마인드치과의원,치과의원,031-401-9375,"경기도 안산시 단원구 고잔로 72, 4층 401호 (고잔동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~18:00,10:00~16:00,10:00~16:00,10:00~16:00,2022-06-01
맥치과의원,치과의원,031-401-7528,"경기도 안산시 단원구 광덕대로 174, 303호,308호 (고잔동, 월드타운)",10:00~21:00,10:00~19:00,10:00~19:00,10:00~21:00,10:00~19:00,10:00~14:00,,,2022-06-01
명치과의원,치과의원,031-494-3197,"경기도 안산시 단원구 원곡로 40, 2,3층 (원곡동)",10:00~20:00,10:00~18:00,10:00~18:00,10:00~19:30,10:00~18:00,10:00~13:00,,,2022-06-01
미래치과의원,치과의원,031-475-2804,"경기도 안산시 단원구 광덕1로 61, 204,205호 (초지동, 신명프라자)",10:00~19:00,10:00~19:00,10:00~20:00,10:00~19:00,10:00~19:00,10:00~13:00,,,2022-06-01
미소가아름다운치과의원,치과의원,031-503-2275,"경기도 안산시 단원구 광덕3로 178, 303호 (고잔동, 화승타운)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~14:00,,,2022-06-01
미소가있는치과의원,치과의원,031-439-7522,"경기도 안산시 단원구 민속공원로 75, 3층 (고잔동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,,,2022-06-01
미소담치과의원,치과의원,031-401-2875,"경기도 안산시 단원구 와동공원로 131, 2층 (와동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,,,2022-06-01
미소만들기치과의원,치과의원,031-487-2879,"경기도 안산시 단원구 중앙대로 907 (고잔동, 안산종합상가)",14:00~21:00,10:30~19:00,14:00~21:00,10:30~19:00,10:30~19:00,09:30~14:30,,,2022-06-01
미소사랑치과교정과치과의원,치과의원,031-483-5788,"경기도 안산시 단원구 예술대학로 9, 506호 (고잔동, 보배프라자)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,09:30~16:00,,,2022-06-01
미소인치과의원,치과의원,031-405-2275,"경기도 안산시 단원구 원선1로 38, 211~214호 (초지동, 두산위브아파트상가)",09:30~18:30,09:30~18:30,09:30~20:00,09:30~18:30,09:30~18:30,09:30~13:00,,,2022-06-01
미플란트치과의원,치과의원,031-495-9990,"경기도 안산시 단원구 산단로 296, 대우테크노피아아파트 201호 (원시동)",09:30~18:30,09:30~20:30,09:30~18:30,09:30~20:30,09:30~18:30,09:30~14:00,,,2022-06-01
미플러스치과의원,치과의원,031-485-7527,"경기도 안산시 단원구 광덕동로 55, 305층 (고잔동, 21세기프라자)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~13:00,,,2022-06-01
바로드림치과의원,치과의원,031-402-2282,"경기도 안산시 단원구 고잔로 108, 대동조이월드 405호 (고잔동)",09:30~21:00,09:30~18:30,09:30~21:00,09:30~18:30,09:30~18:30,09:30~13:30,,,2022-06-01
바른이박상민치과의원,치과의원,031-492-2875,"경기도 안산시 단원구 예술대학로 17, 301,302호 (고잔동, 안산중앙노블레스)",10:00~19:00,10:00~19:00,10:00~20:00,,10:00~19:00,09:00~14:00,,,2022-06-01
반월정성치과의원,치과의원,031-491-0003,"경기도 안산시 단원구 동산로 48, 2층 (원시동)",09:30~18:30,09:30~19:30,09:30~18:30,09:30~19:30,09:30~18:30,09:30~12:30,,,2022-06-01
밝은치과의원,치과의원,031-480-8292,"경기도 안산시 단원구 당곡2로 23 (고잔동, 바동상가 202호)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,,,2022-06-01
백승호치과의원,치과의원,031-403-0303,"경기도 안산시 단원구 광덕4로 108, 402호 (고잔동, 고잔프라자)",09:30~21:00,09:30~19:00,09:30~21:00,09:30~19:00,09:30~21:00,09:30~16:00,,,2022-06-01
베리굿치과의원,치과의원,031-439-6975,경기도 안산시 단원구 와동로 19 (와동),10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,,,2022-06-01
베스트원치과의원,치과의원,031-485-7582,"경기도 안산시 단원구 광덕동로 81, 206호 (고잔동, 드림프라자)",09:30~18:30,09:30~18:30,09:30~20:30,09:30~18:30,09:30~18:30,09:30~14:00,,,2022-06-01
사랑이꽃피는치과의원,치과의원,031-486-0543,경기도 안산시 단원구 중앙대로 907 (고잔동),10:00~18:30,10:00~18:30,10:00~20:30,10:00~18:30,10:00~18:30,10:00~14:30,,,2022-06-01
새안산치과의원,치과의원,031-483-2275,경기도 안산시 단원구 광덕3로 217 (고잔동),09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:30,,,2022-06-01
서울ONE치과의원,치과의원,031-485-7522,경기도 안산시 단원구 초지로 116 (초지동),09:30~18:30,09:30~20:30,09:30~20:30,09:30~18:30,09:30~18:30,09:30~13:30,,,2022-06-01
서울S치과의원,치과의원,031-414-2879,"경기도 안산시 단원구 예술대학로 11, 4층 (고잔동, 해남빌딩)",10:00~19:00,10:00~20:30,10:00~19:00,10:00~20:30,10:00~19:00,10:00~14:00,,,2022-06-01
서울류준하치과교정과치과의원,치과의원,031-405-2811,"경기도 안산시 단원구 예술대학로 17, 406,407호 (고잔동, 안산중앙노블레스)",10:30~20:30,13:00~21:00,,13:00~21:00,10:30~19:00,09:30~16:00,,,2022-06-01
서울위드치과의원,치과의원,031-486-2080,"경기도 안산시 단원구 라성로 43, 벽산블루밍아파트 204~208호 (원곡동)",09:30~18:00,09:30~20:00,09:30~18:00,09:30~20:00,09:30~18:00,09:30~14:00,,,2022-06-01
서울은치과의원,치과의원,031-414-2894,"경기도 안산시 단원구 선삼로 21, 3층 (선부동)",10:00~19:00,10:00~19:00,10:00~21:00,10:00~19:00,10:00~19:00,10:00~14:00,,,2022-06-01
서울이플란트치과의원,치과의원,031-408-2875,"경기도 안산시 단원구 선부광장1로 69, 215호 (선부동, 한양산호상가)",10:00~19:00,10:00~21:00,10:00~19:00,10:00~19:00,10:00~21:00,10:00~14:00,,,2022-06-01
서울키즈파파치과의원,치과의원,031-480-7582,"경기도 안산시 단원구 고잔2길 41, 504,504-1호 (고잔동, 신양복합빌딩)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~15:00,,,2022-06-01
서울하이안치과의원,치과의원,031-485-2080,"경기도 안산시 단원구 광덕1로 159, 205호 (고잔동, 대림프라자)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~13:00,,,2022-06-01
선부푸른치과의원,치과의원,031-410-7528,"경기도 안산시 단원구 선부로 185, 301호 (선부동, 대흥빌딩)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~13:30,,,2022-06-01
세브란스치과의원,치과의원,031-487-7755,"경기도 안산시 단원구 선부광장1로 66, 206호 (선부동, 용현빌딩)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~16:00,,,2022-06-01
스마일치과의원,치과의원,031-401-7576,경기도 안산시 단원구 초지로 100 (초지동),10:00~19:00,10:00~19:00,10:00~21:00,10:00~19:00,10:00~19:00,10:00~14:00,,,2022-06-01
신길치과의원,치과의원,031-494-7582,"경기도 안산시 단원구 도일로 60-13, 2층 (신길동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,,,,2022-06-01
신치과의원,치과의원,031-484-6226,"경기도 안산시 단원구 원선로 50, 306호 (원곡동, 벽산블루밍상가)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~14:00,,,2022-06-01
심미치과의원,치과의원,031-482-2804,"경기도 안산시 단원구 고잔로 76 (고잔동, 영풍프라자 306,312호)",09:30~19:30,09:30~19:30,09:30~19:30,09:30~19:30,09:30~18:30,09:30~15:00,,,2022-06-01
안녕하세요부부치과의원,치과의원,031-482-0275,"경기도 안산시 단원구 예술대학로 17, 5층 511~513호 (고잔동, 중앙노블레스)",10:00~19:00,10:00~20:30,10:00~19:00,10:00~20:30,10:00~19:00,10:00~14:00,,,2022-06-01
안산개구쟁이치과의원,치과의원,031-475-8875,"경기도 안산시 단원구 광덕4로 220, 508호 (고잔동, 밀레니엄프라자)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,,,,2022-06-01
안산나눔치과의원,치과의원,031-483-2875,"경기도 안산시 단원구 선부광장1로 10, 동양빌딩 4층 401호 일부호 (선부동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,,,2022-06-01
안산레이크치과의원,치과의원,,"경기도 안산시 단원구 광덕대로 130, 폴리타운 B동 216,217호 (고잔동)",,,,,,,,,2022-06-01
안산미앤미치과의원,치과의원,031-401-5061,"경기도 안산시 단원구 원포공원1로 35, 201,202호 (초지동, 제일프라자)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~13:00,,,2022-06-01
안산이미지치과의원,치과의원,031-405-2855,"경기도 안산시 단원구 와동공원로 138, 1층 (와동)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~13:00,,,2022-06-01
어반베스트치과의원,치과의원,031-402-2275,"경기도 안산시 단원구 선부광장1로 179, 이편한세상 선부역 어반스퀘어 상가동 203~206호 (선부동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
에이치앤에이치치과의원,치과의원,031-495-2275,경기도 안산시 단원구 도일로 60-15 (신길동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,,,2022-06-01
에이플란트치과의원,치과의원,031-8084-2875,"경기도 안산시 단원구 풍전로 37-24, 317동 510,511호 (원곡동, 트리플렉스 비단지)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~20:00,09:30~18:30,09:30~13:30,,,2022-06-01
연세매일치과의원,치과의원,031-411-2475,"경기도 안산시 단원구 원포공원1로 46, 이마트 5층 (초지동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~17:30,10:00~17:30,10:00~17:30,2022-06-01
연세스타치과의원,치과의원,031-411-2875,"경기도 안산시 단원구 고잔로 88, 405호 (고잔동)",10:00~20:30,10:00~19:00,10:00~20:30,10:00~19:00,10:00~19:00,09:00~14:00,,,2022-06-01
연세이앤미치과의원,치과의원,031-484-9004,경기도 안산시 단원구 광덕대로 161 (고잔동),10:00~18:30,10:00~18:30,10:00~20:00,10:00~18:30,10:00~18:30,10:00~13:00,,,2022-06-01
연세제일치과의원,치과의원,031-480-7575,"경기도 안산시 단원구 선부광장1로 69 (선부동, 산호한양아파트 상가동)",09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~18:30,09:30~16:00,,,2022-06-01
연세치과의원,치과의원,031-494-9452,경기도 안산시 단원구 원곡1로 59 (원곡동),10:00~19:30,10:00~19:30,10:00~19:30,10:00~19:30,10:00~19:30,10:00~14:30,,,2022-06-01
연세하이치과의원,치과의원,031-403-2270,"경기도 안산시 단원구 고잔로 102, 대지스타타워 401~404호 (고잔동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~15:00,,,2022-06-01
열린치과의원,치과의원,031-485-2828,"경기도 안산시 단원구 광덕대로 187, 513,514,515호 (고잔동, 장은타워)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,,,2022-06-01
예쁜마음치과의원,치과의원,031-494-7940,경기도 안산시 단원구 신길로1길 86 (신길동),10:00~17:30,10:00~17:30,10:00~17:30,10:00~19:00,10:00~17:30,10:00~13:00,,,2022-06-01
예스치과의원,치과의원,031-495-2873,"경기도 안산시 단원구 원곡로 1, 2층 (원곡동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,,,,2022-06-01
예원치과의원,치과의원,031-439-2875,"경기도 안산시 단원구 초지동로 7, 201호 (초지동, 한남스포랜드)",09:30~19:00,09:30~21:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,,,2022-06-01
예인치과의원,치과의원,031-480-2875,"경기도 안산시 단원구 원초로 30, 307호 (원곡동, 보성프라자)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~13:30,,,2022-06-01
오정진치과의원,치과의원,031-487-9779,"경기도 안산시 단원구 예술대학로 82, 207,208,211,212,215,216,219,220,223,224,229~232호 (고잔동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~13:30,,,2022-06-01
온누리치과의원,치과의원,031-412-2228,경기도 안산시 단원구 선부로 201,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
와동킴스치과의원,치과의원,031-486-2275,경기도 안산시 단원구 와동로 6 1층 (와동),10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~13:00,,,2022-06-01
우리가족치과의원,치과의원,031-475-2080,경기도 안산시 단원구 초지로 90 (초지동),10:00~19:00,10:00~21:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,,,2022-06-01
웰빙명인치과의원,치과의원,031-439-7528,"경기도 안산시 단원구 원포공원2로 35, 1동 402호 (초지동, 메가쇼핑)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,,,2022-06-01
웰치과의원,치과의원,031-491-9001,"경기도 안산시 단원구 중앙대로 461, 2층 (원곡동)",10:00~19:00,10:00~19:00,,10:00~19:00,10:00~19:00,10:00~19:00,,,2022-06-01
유디중앙역치과의원,치과의원,031-480-4040,"경기도 안산시 단원구 고잔1길 7, 7층 (고잔동, 석탑프라자)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~20:00,09:30~18:30,09:30~14:30,,,2022-06-01
이엘치과의원,치과의원,031-439-2275,"경기도 안산시 단원구 광덕동로 39, 대우프라자 206, 207호 (고잔동)",10:00~19:00,10:00~21:00,10:00~19:00,10:00~19:00,10:00~19:00,09:00~14:00,,,2022-06-01
이영규치과의원,치과의원,031-492-7522,"경기도 안산시 단원구 새뿔길 46, 201호 (신길동)",10:00~18:00,10:00~18:00,10:00~18:00,13:00~20:00,10:00~18:00,10:00~14:00,,,2022-06-01
이클린치과의원,치과의원,031-403-2836,경기도 안산시 단원구 와동로 122 (와동),10:00~19:00,10:00~20:00,10:00~19:00,10:00~20:00,10:00~19:00,10:00~14:00,,,2022-06-01
이포유(e4u)치과의원,치과의원,031-403-7575,"경기도 안산시 단원구 선부광장북로 36, 213~215호 (선부동, 동명벽산상사)",09:30~21:00,09:30~19:00,09:30~21:00,09:30~19:00,09:30~21:00,09:30~16:00,,,2022-06-01
이플러스치과의원,치과의원,031-403-2854,"경기도 안산시 단원구 선부로 233, 3층 (와동)",10:00~18:30,10:00~20:00,10:00~18:30,10:00~20:00,10:00~18:30,10:00~12:00,,,2022-06-01
이해박는집치과의원,치과의원,031-475-2855,"경기도 안산시 단원구 고잔1길 33, 5층 (고잔동, 봉산빌딩)",10:00~18:00,10:00~18:00,10:00~20:30,10:00~18:00,10:00~18:00,10:00~14:00,,,2022-06-01
인플란트치과의원,치과의원,031-8042-2111,"경기도 안산시 단원구 고잔2길 41, 401,402,408호 (고잔동)",09:30~18:30,09:30~20:00,09:30~18:30,09:30~20:30,09:30~18:30,09:30~14:00,,,2022-06-01
